name,desc,reduce
Etc/GMT+12,GMT-12:00,-12
Etc/GMT+11,GMT-11:00,-11
太平洋/中途岛,萨摩亚标准时间,-11
太平洋/纽埃岛,纽埃岛时间,-11
太平洋/帕果-帕果,萨摩亚标准时间,-11
太平洋/萨摩亚,萨摩亚标准时间,-11
美国/萨摩亚,萨摩亚标准时间,-11
美洲/艾德克,夏威夷阿留申群岛标准时间,-10
美洲/阿特加,夏威夷阿留申群岛标准时间,-10
Etc/GMT+10,GMT-10:00,-10
HST,夏威夷标准时间,-10
太平洋/法考福,托克劳群岛时间,-10
太平洋/檀香山,夏威夷标准时间,-10
太平洋/约翰斯顿,夏威夷标准时间,-10
太平洋/拉罗汤加岛,库克群岛时间,-10
太平洋/塔希提,塔希提岛时间,-10
SystemV/HST10,夏威夷标准时间,-10
美国/阿留申,夏威夷阿留申群岛标准时间,-10
美国/夏威夷,夏威夷标准时间,-10
太平洋/马克萨斯群岛,马克萨斯时间,-9.5
AST,阿拉斯加标准时间,-9
美洲/安克雷奇,阿拉斯加标准时间,-9
美洲/朱诺,阿拉斯加标准时间,-9
美洲/诺姆,阿拉斯加标准时间,-9
美国/锡特卡,阿拉斯加标准时间,-9
美洲/雅库塔特,阿拉斯加标准时间,-9
Etc/GMT+9,GMT-09:00,-9
大洋洲/甘比尔群岛,冈比亚时间,-9
SystemV/YST9,阿拉斯加标准时间,-9
SystemV/YST9YDT,阿拉斯加标准时间,-9
美国/阿拉斯加,阿拉斯加标准时间,-9
美洲/道森,太平洋标准时间,-8
美洲/昂塞纳达,太平洋标准时间,-8
美洲/洛杉矶,太平洋标准时间,-8
美国/梅特拉卡特拉,梅特拉卡特拉标准时间,-8
美洲/圣伊萨贝尔,太平洋标准时间,-8
美洲/提华纳,太平洋标准时间,-8
美洲/温哥华,太平洋标准时间,-8
美洲/怀特霍斯,太平洋标准时间,-8
加拿大/太平洋,太平洋标准时间,-8
加拿大/育空,太平洋标准时间,-8
Etc/GMT+8,GMT-08:00,-8
墨西哥/巴加诺特,太平洋标准时间,-8
PST,太平洋标准时间,-8
PST8PDT,太平洋标准时间,-8
太平洋/皮特克恩岛,皮特克恩标准时间,-8
SystemV/PST8,太平洋标准时间,-8
SystemV/PST8PDT,太平洋标准时间,-8
美国/太平洋,太平洋标准时间,-8
美国/新太平洋,太平洋标准时间,-8
美洲/博伊西,美国山地标准时间,-7
美洲/坎布里季贝,美国山地标准时间,-7
美洲/奇瓦瓦,美国山地标准时间,-7
美洲/道森克里克,美国山地标准时间,-7
美洲/丹佛,美国山地标准时间,-7
美洲/埃得蒙顿,美国山地标准时间,-7
美洲/埃莫西约,美国山地标准时间,-7
美洲/伊努维克,美国山地标准时间,-7
美洲/马萨特兰,美国山地标准时间,-7
美洲/奥希纳加,美国山地标准时间,-7
美洲/菲尼克斯,美国山地标准时间,-7
美洲/舰石城,美国山地标准时间,-7
美洲/耶洛奈夫,美国山地标准时间,-7
加拿大/山区,美国山地标准时间,-7
Etc/GMT+7,GMT-07:00,-7
MST,美国山地标准时间,-7
MST7MDT,美国山地标准时间,-7
墨西哥/巴加苏,美国山地标准时间,-7
纳瓦霍,美国山地标准时间,-7
PNT,美国山地标准时间,-7
